Tier,Groq N,Swarm N,Groq Pass@1 (%),Swarm Pass@1 (%),Delta Pass@1 (% pts),t-stat (Acc),p-val (Acc),Cohen's d (Acc),Groq Mean Lat (s),Swarm Mean Lat (s),Delta Lat (s),t-stat (Lat),p-val (Lat),Cohen's d (Lat),Groq Mean Tokens,Swarm Mean Tokens,Groq Fallback (%),Swarm Fallback (%),Swarm QA Exhausted (%)
Overall,90,90,85.56,0.0,-85.56,-22.96,0.0,-3.423,8.3,87.91,79.61,16.451,0.0,2.452,878.5,1202.3,95.56,7.78,0.0
Easy,30,30,73.33,0.0,-73.33,-8.93,0.0,-2.306,7.45,54.69,47.24,7.271,0.0,1.877,743.0,946.2,86.67,0.0,0.0
Medium,30,30,90.0,0.0,-90.0,-16.155,0.0,-4.171,8.59,92.9,84.31,9.791,0.0,2.528,901.5,1280.2,100.0,0.0,0.0
Hard,30,30,93.33,0.0,-93.33,-20.149,0.0,-5.203,8.84,116.13,107.29,18.72,0.0,4.834,991.1,1380.4,100.0,23.33,0.0
