Difficulty,Swarm_Accuracy,Monolithic_Accuracy,Accuracy_Delta,Swarm_Cost_Per_Solved,Monolithic_Cost_Per_Solved,Cost_Ratio_Swarm_vs_Mono,Swarm_Mean_Latency_Sec,Monolithic_Mean_Latency_Sec,Latency_Ratio,Exceeds_Complexity_Ceiling
Easy,1.0,0.8,0.2,0.00026,0.01435,0.018,1.62,1.44,1.13,False
Medium,1.0,0.533,0.467,0.00044,0.02184,0.02,1.89,1.45,1.3,False
Hard,0.944,0.433,0.511,0.00077,0.02622,0.029,2.29,1.63,1.41,False
