Tier,Groq N,Swarm v2 N,Groq Pass Count,Swarm v2 Pass Count,Groq Pass@1 (%),Groq Wilson CI Low (%),Groq Wilson CI High (%),Swarm v2 Pass@1 (%),Swarm v2 Wilson CI Low (%),Swarm v2 Wilson CI High (%),Risk Difference (% pts),Risk Diff 95% CI Low (%),Risk Diff 95% CI High (%),Fisher Odds Ratio (Raw),Fisher Odds Ratio (Haldane-Anscombe),Reported Odds Ratio,Fisher p-val (Acc),Two-Prop z-stat,Two-Prop p-val (Acc),"Welch t-stat (Acc, linear-proxy)","Welch p-val (Acc, linear-proxy)",Groq Mean Lat (s),Swarm v2 Mean Lat (s),Delta Lat (s),Welch t-stat (Lat),Welch p-val (Lat),Cohen's d (Lat),Groq Mean Tokens,Swarm v2 Mean Tokens,Groq Fallback (%),Swarm v2 Fallback (%),Swarm v2 QA Exhausted (%)
Overall,90,90,77,4,85.56,76.84,91.36,4.44,1.74,10.88,-81.11,-87.51,-70.28,0.0079,0.0091,0.0079,2.2791e-31,-10.937,7.6679e-28,-18.778,1.6474e-40,8.3,160.76,152.47,21.885,1.179e-37,3.262,878.5,1794.3,95.56,5.56,74.44
Easy,30,30,22,4,73.33,55.55,85.82,13.33,5.31,29.68,-60.0,-74.84,-35.85,0.0559,0.0642,0.0559,4.8344e-06,-4.689,2.7394e-06,-5.793,3.5787e-07,7.45,104.51,97.06,13.942,2.0859e-14,3.6,743.0,1461.9,86.67,0.0,70.0
Medium,30,30,27,0,90.0,74.38,96.54,0.0,0.0,11.35,-90.0,-96.54,-70.69,0.0,0.0021,0.0021,9.2268e-14,-7.006,2.4437e-12,-16.155,4.879e-16,8.59,193.08,184.49,19.902,1.5988e-18,5.139,901.5,2108.4,100.0,0.0,96.67
Hard,30,30,28,0,93.33,78.68,98.15,0.0,0.0,11.35,-93.33,-98.15,-74.79,0.0,0.0014,0.0014,8.388e-15,-7.246,4.3025e-13,-20.149,1.3417e-18,8.84,184.71,175.86,14.479,7.4744e-15,3.738,991.1,1812.6,100.0,16.67,56.67
