Provider,Hardware,Quantization / Serving,Total Runs,Pass@1 Overall (%),Easy Pass@1 (%),Medium Pass@1 (%),Hard Pass@1 (%),Mean Latency (s),Fallback Usage (%),Mean Prompt Tokens,Mean Comp Tokens,Mean Total Tokens,Total Cost ($)
OpenRouter,AkashML Cloud GPU,MXFP4 (5.1B active),90,72.22,60.0,80.0,76.67,17.62,0.0,401.1,515.1,916.2,0.0
Groq,Groq LPU (Native),Direct LPU On-Demand,90,85.56,73.33,90.0,93.33,8.3,95.56,413.9,464.6,878.5,0.0
